Hours_Studied,Exam_Score
4.37,44.14
9.56,94.07
7.59,76.34
6.39,53.94
2.4,22.94
2.4,25.83
1.52,22.62
8.8,85.36
6.41,60.06
7.37,71.22
1.19,16.43
9.73,98.94
8.49,82.27
2.91,31.68
2.64,26.85
2.65,31.35
3.74,33.87
5.72,55.59
4.89,46.91
3.62,28.89
6.51,66.55
2.26,23.86
3.63,36.32
4.3,41.8
5.1,43.97
8.07,78.56
2.8,26.26
5.63,52.27
6.33,62.51
1.42,16.2
6.47,74.11
2.53,26.22
1.59,17.14
9.54,95.03
9.69,87.31
8.28,82.62
3.74,37.72
1.88,31.11
7.16,70.62
4.96,51.12
2.1,20.81
5.46,48.72
1.31,18.81
9.18,95.6
3.33,37.25
6.96,65.08
3.81,45.07
5.68,49.8
5.92,62.14
2.66,37.59
9.73,92.31
7.98,76.93
9.46,95.05
9.05,88.02
6.38,56.06
9.3,93.31
1.8,12.65
2.76,30.01
1.41,9.47
3.93,47.03
4.5,41.06
3.44,32.81
8.46,88.65
4.21,35.95
3.53,36.42
5.88,65.38
2.27,14.65
8.22,83.12
1.67,18.01
9.88,102.73
7.95,73.32
2.79,21.28
1.05,13.11
8.34,84.88
7.36,74.87
7.56,77.34
7.94,76.01
1.67,17.83
4.23,43.73
2.04,16.86
8.77,97.01
6.61,68.47
3.98,33.82
1.57,19.0
3.8,33.12
3.93,43.2
7.57,81.46
6.74,63.28
8.98,94.67
5.25,54.56
2.08,24.87
7.42,83.68
7.85,77.24
6.05,56.75
7.94,74.94
5.44,50.36
5.7,56.66
4.85,50.18
1.23,13.67
1.97,23.85
